player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0026796,Arian Foster,RB,13,322.2,24.78,97.4,205.0,1.106,2.225,,
00-0027029,LeSean McCoy,RB,13,272.0,20.92,46.9,153.9,0.54,1.704,,
00-0026367,Peyton Hillis,RB,13,274.1,21.09,49.0,156.0,0.51,1.669,,
00-0020245,Michael Vick,QB,10,243.8,24.38,62.8,155.7,0.651,1.625,,
00-0023459,Aaron Rodgers,QB,13,255.5,19.65,31.7,146.3,0.344,1.615,,
00-0023462,Sharod White,WR,13,265.2,20.4,41.5,145.2,0.424,1.549,,
00-0019596,Thomas Brady,QB,13,248.6,19.12,19.5,136.8,0.208,1.505,,
00-0025394,Adrian Peterson,RB,13,253.1,19.47,29.1,136.8,0.33,1.496,,
00-0026144,Darren McFadden,RB,11,237.0,21.55,46.9,137.3,0.504,1.472,,
00-0022942,Philip Rivers,QB,13,232.6,17.89,8.8,123.5,0.102,1.402,,
00-0022044,Andre Johnson,WR,12,238.8,19.9,34.2,127.2,0.387,1.396,,
00-0020498,Reginald Wayne,WR,13,243.3,18.72,23.4,124.1,0.282,1.386,,
00-0021547,Antonio Gates,TE,10,213.2,21.32,55.6,123.3,0.642,1.375,,
00-0020531,Drew Brees,QB,13,227.8,17.52,4.0,118.6,0.035,1.346,,
00-0010346,Peyton Manning,QB,13,230.4,17.72,1.4,117.4,0.036,1.33,,
00-0022097,Brandon Lloyd,WR,13,235.5,18.12,11.6,115.5,0.122,1.258,,
00-0025389,Calvin Johnson,WR,13,230.8,17.75,10.9,111.6,0.118,1.227,,
00-0027005,Hakeem Nicks,WR,11,211.6,19.24,21.2,110.4,0.263,1.217,,
00-0024275,Maurice Jones-Drew,RB,13,225.3,17.33,1.9,107.3,0.02,1.195,,
00-0024267,Gregory Jennings,WR,13,224.6,17.28,3.8,107.6,0.023,1.183,,
00-0012478,Terrell Owens,WR,13,224.3,17.25,1.8,106.8,0.047,1.181,,
00-0026164,Christopher Johnson,RB,13,224.4,17.26,1.0,106.4,0.025,1.178,,
00-0022127,Christopher Witten,TE,13,221.1,17.01,17.7,103.5,0.234,1.169,,
00-0025637,Ahmad Bradshaw,RB,13,213.7,16.44,-11.4,95.6,-0.102,1.094,,
00-0023500,Franklin Gore,RB,11,200.5,18.23,11.2,99.7,0.123,1.093,,
00-0023541,Kyle Orton,QB,13,209.9,16.14,-17.9,98.2,-0.211,1.08,,
00-0025410,Dwayne Bowe,WR,13,231.2,17.78,6.8,110.9,-0.031,1.079,,
00-0026213,Jamaal Charles,RB,13,211.5,16.27,-12.5,95.2,-0.145,1.067,,
00-0024466,Marques Colston,WR,13,210.2,16.17,-10.6,93.2,-0.127,1.053,,
00-0026195,Raymell Rice,RB,13,212.4,16.34,-12.7,94.3,-0.142,1.04,,
