player_id,name,pos,team,season,games,gp14,att_pg,car_pg,tgt_pg,tgt_share,ay_share,wopr,att,cmp_pct,ypa,pass_td_rate,int_rate,sack_rate,epa_db,cpoe,pacr,pass_fd_rate,pass_expl_rate,car,ypc,rush_td_rate,epa_car,rush_fd_rate,rush_expl_rate,tgt,rec,catch_rate,ypt,ypr,adot,racr,yac_rec,epa_tgt,rec_td_rate,rec_fd_rate,rec_expl_rate,fum_lost,wk_act,wk_res,wk_ina,wk_hurt,wk_bench,fp_ppr,fp_exp,fp_act,fp_diff,fp_exp_pg,exp_share,pass_fp_exp,rush_fp_exp,rec_fp_exp,td_exp,td_act,td_diff
00-0034796,Lamar Jackson,QB,BAL,2024,17,13,27.88,8.18,0.0,0.0,0.0,0.0,474,0.6667,8.8,0.0865,0.0084,0.0463,0.3466,4.502,1.015,0.4177,0.1181,139,6.58,0.0288,0.0838,0.3381,0.2662,0,0,,,,,,,,,,,4,17,0,0,0,0,430.4,336.3,432.4,96.1,19.78,0.2752,235.9,100.4,0.0,31.63,45.0,13.37
00-0034857,Josh Allen,QB,BUF,2024,16,13,30.19,6.38,0.0,0.0,0.0,0.0,483,0.6356,7.72,0.058,0.0124,0.0282,0.2618,0.872,0.928,0.3582,0.1118,102,5.21,0.1176,0.5589,0.5,0.1667,0,0,,,,,,,,,,,0,17,0,0,0,1,379.0,348.1,376.1,28.0,21.76,0.2928,240.7,107.4,0.0,39.07,40.0,0.93
00-0036442,Joe Burrow,QB,CIN,2024,17,13,38.35,2.47,0.0,0.0,0.0,0.0,652,0.7055,7.54,0.066,0.0138,0.0686,0.1645,6.764,1.066,0.388,0.0752,42,4.79,0.0476,0.3822,0.381,0.1905,0,0,,,,,,,,,,,0,17,0,0,0,0,372.8,369.0,382.8,13.8,21.7,0.2599,340.2,28.8,0.0,47.89,45.0,-2.89
00-0034855,Baker Mayfield,QB,TB,2024,17,13,33.53,3.53,0.0,0.0,0.0,0.0,570,0.714,7.89,0.0719,0.0281,0.0656,0.1892,3.668,1.133,0.393,0.1018,60,6.3,0.05,0.1132,0.4,0.3333,0,0,,,,,,,,,,,1,17,0,0,0,0,365.8,326.8,367.4,40.7,19.22,0.2452,282.4,44.4,0.0,35.39,44.0,8.61
00-0039910,Jayden Daniels,QB,WAS,2024,17,13,28.24,8.71,0.0,0.0,0.0,0.0,480,0.6896,7.43,0.0521,0.0187,0.0892,0.1155,3.501,1.006,0.3542,0.0854,148,6.02,0.0405,0.3954,0.3716,0.1892,0,0,,,,,,,,,,,0,17,0,0,0,0,355.8,359.1,355.8,-3.3,21.12,0.2704,220.9,138.2,0.0,33.55,31.0,-2.55
00-0033106,Jared Goff,QB,DET,2024,17,13,31.71,2.06,0.06,0.0031,0.0037,0.0073,539,0.7236,8.59,0.0686,0.0223,0.0544,0.2957,5.588,1.359,0.4378,0.1132,35,1.6,0.0,-0.0893,0.2571,0.0286,1,1,1.0,7.0,7.0,5.0,1.4,2.0,1.7241,1.0,1.0,0.0,0,17,0,0,0,0,324.5,309.7,320.8,11.1,18.22,0.2154,286.6,20.0,3.1,34.96,38.0,3.04
00-0039732,Bo Nix,QB,DEN,2024,17,13,33.35,5.41,0.06,0.0018,0.0005,0.003,567,0.6631,6.66,0.0511,0.0212,0.0406,0.0583,0.517,0.917,0.2998,0.0899,92,4.67,0.0435,0.2399,0.4457,0.1739,1,1,1.0,2.0,2.0,2.0,1.0,0.0,3.8799,1.0,1.0,0.0,0,17,0,0,0,0,317.2,302.5,317.1,14.6,17.79,0.2477,228.7,70.5,3.3,29.65,34.0,4.35
00-0036389,Jalen Hurts,QB,PHI,2024,15,13,24.07,10.0,0.0,0.0,0.0,0.0,361,0.687,8.04,0.0499,0.0139,0.0952,0.1013,7.365,1.032,0.385,0.1191,150,4.2,0.0933,0.2716,0.4133,0.12,0,0,,,,,,,,,,,2,15,0,2,2,0,315.1,314.7,321.1,6.4,20.98,0.2959,170.5,144.2,0.0,33.13,32.0,-1.13
00-0034869,Sam Darnold,QB,MIN,2024,17,13,32.06,3.94,0.0,0.0,0.0,0.0,545,0.6624,7.92,0.0642,0.022,0.0809,0.0837,3.737,0.938,0.3798,0.1138,67,3.16,0.0149,-0.0469,0.3433,0.1343,0,0,,,,,,,,,,,2,17,0,0,0,0,308.0,330.5,312.0,-18.5,19.44,0.2549,300.7,29.8,0.0,39.49,36.0,-3.49
00-0035228,Kyler Murray,QB,ARI,2024,17,13,31.82,4.59,0.0,0.0,0.0,0.0,541,0.6876,7.12,0.0388,0.0203,0.0525,0.115,2.166,1.043,0.353,0.0795,78,7.33,0.0641,0.2299,0.3462,0.2436,0,0,,,,,,,,,,,3,17,0,0,0,0,297.2,305.6,299.2,-6.3,17.97,0.2461,245.5,60.1,0.0,29.09,26.0,-3.09
