player_id,name,pos,team,season,week,att,cmp,pass_epa,sacks,cpoe,car,tgt,rec,rec_ay,tgt_share,ay_share,team_car,team_rb_touch,fp_ppr,fp_exp,fp_act,snaps,team_snaps
00-0023459,Aaron Rodgers,QB,PIT,2026,1,40,24,-7.838,2,1.234,3,0,0,0.0,0.0,0.0,21,25,12.5,20.33,12.54,67,67
00-0023459,Aaron Rodgers,QB,PIT,2026,2,39,23,-21.409,4,-6.411,1,0,0,0.0,0.0,0.0,23,24,4.0,10.0,5.98,67,70
00-0026498,Matthew Stafford,QB,LA,2026,1,25,15,-5.611,0,-4.689,2,0,0,0.0,0.0,0.0,29,30,4.1,13.94,4.1,51,61
00-0026498,Matthew Stafford,QB,LA,2026,2,31,22,18.634,1,7.273,4,0,0,0.0,0.0,0.0,28,27,27.0,18.51,26.98,62,62
00-0029604,Kirk Cousins,QB,LV,2026,1,30,21,0.393,0,0.709,5,0,0,0.0,0.0,0.0,37,36,13.8,15.53,13.8,68,68
00-0029604,Kirk Cousins,QB,LV,2026,2,29,19,5.973,2,2.891,4,0,0,0.0,0.0,0.0,29,28,20.2,13.66,20.22,63,63
00-0030279,Keenan Allen,WR,IND,2026,1,0,0,0.0,0,,0,6,6,22,0.2069,0.1095,20,23,9.2,9.88,9.2,36,54
00-0030279,Keenan Allen,WR,IND,2026,2,0,0,0.0,0,,0,5,1,31,0.1667,0.1914,32,30,1.5,6.61,1.5,33,65
00-0030506,Travis Kelce,TE,KC,2026,1,0,0,0.0,0,,0,5,3,29,0.2,0.218,38,36,10.1,7.99,10.1,49,69
00-0030506,Travis Kelce,TE,KC,2026,2,0,0,0.0,0,,0,11,9,56,0.2558,0.2137,29,34,25.1,17.67,25.1,68,80
00-0030565,Geno Smith,QB,NYJ,2026,1,24,19,9.755,0,12.836,6,0,0,0.0,0.0,0.0,39,34,9.3,10.48,9.3,67,67
00-0030565,Geno Smith,QB,NYJ,2026,2,41,27,4.284,4,5.865,5,0,0,0.0,0.0,0.0,27,27,15.6,15.44,15.58,74,74
00-0031381,Davante Adams,WR,LA,2026,1,0,0,0.0,0,,0,6,3,73,0.2222,0.2863,29,30,5.6,8.67,5.6,33,61
00-0031381,Davante Adams,WR,LA,2026,2,0,0,0.0,0,,0,10,8,198,0.3333,0.5982,28,27,39.5,21.25,39.5,40,62
00-0031408,Mike Evans,WR,SF,2026,1,0,0,0.0,0,,0,7,6,55,0.2059,0.3691,30,30,16.9,13.65,16.9,49,65
00-0031408,Mike Evans,WR,SF,2026,2,0,0,0.0,0,,0,3,3,40,0.1429,0.2222,27,25,8.4,5.99,8.4,28,52
00-0031503,Jameis Winston,QB,NYG,2026,2,27,11,-16.49,2,-25.333,2,0,0,0.0,0.0,0.0,21,23,2.5,11.26,2.54,51,58
00-0031588,Stefon Diggs,WR,WAS,2026,1,0,0,0.0,0,,0,9,4,83,0.3103,0.2618,32,30,15.5,14.2,15.5,44,70
00-0031588,Stefon Diggs,WR,WAS,2026,2,0,0,0.0,0,,0,6,5,72,0.1765,0.2006,32,31,21.7,12.76,21.7,36,71
00-0031610,Darren Waller,TE,CAR,2026,1,0,0,0.0,0,,0,2,2,8,0.0588,0.0219,22,23,4.8,3.06,4.8,24,69
00-0031610,Darren Waller,TE,CAR,2026,2,0,0,0.0,0,,0,3,3,26,0.0938,0.0836,22,23,18.3,8.62,18.3,29,66
00-0032104,Ameer Abdullah,RB,JAX,2026,1,0,0,0.0,0,,4,1,1,-3,0.0476,-0.0124,32,27,4.2,3.77,4.2,5,56
00-0032104,Ameer Abdullah,RB,JAX,2026,2,0,0,0.0,0,,3,1,1,-6,0.0357,-0.0199,24,25,2.3,2.95,2.3,6,60
00-0032268,Marcus Mariota,QB,WAS,2026,2,16,11,6.732,0,8.007,1,0,0,0.0,0.0,0.0,32,31,8.7,8.2,8.74,32,71
00-0032392,Austin Hooper,TE,ATL,2026,2,0,0,0.0,0,,0,4,2,13,0.129,0.0818,32,32,4.0,5.13,4.0,30,70
00-0032398,Chris Moore,WR,BAL,2026,1,0,0,0.0,0,,0,2,1,68,0.0833,0.2528,37,32,6.3,4.32,6.3,25,68
00-0032398,Chris Moore,WR,BAL,2026,2,0,0,0.0,0,,0,3,1,93,0.1034,0.2897,22,23,1.6,7.36,1.6,32,58
00-0032464,Kalif Raymond,WR,CHI,2026,1,0,0,0.0,0,,0,9,8,65,0.3462,0.2038,39,31,16.4,13.75,16.4,45,75
00-0032464,Kalif Raymond,WR,CHI,2026,2,0,0,0.0,0,,0,5,5,7,0.1667,0.037,31,33,9.0,8.56,9.0,46,74
00-0032764,Derrick Henry,RB,BAL,2026,1,0,0,0.0,0,,24,1,1,-1,0.0417,-0.0037,37,32,35.3,20.07,35.3,37,69
00-0032764,Derrick Henry,RB,BAL,2026,2,0,0,0.0,0,,16,3,3,-13,0.1034,-0.0405,22,23,17.7,17.24,17.7,31,58
00-0032775,Demarcus Robinson,WR,SF,2026,1,0,0,0.0,0,,0,3,2,45,0.0882,0.302,30,30,13.0,7.76,13.0,41,65
00-0032775,Demarcus Robinson,WR,SF,2026,2,0,0,0.0,0,,0,3,3,27,0.1429,0.15,27,25,6.4,4.65,6.4,16,52
00-0032950,Carson Wentz,QB,MIN,2026,1,19,12,4.987,3,-7.261,5,0,0,0.0,0.0,0.0,34,28,19.2,10.87,19.22,54,65
00-0032950,Carson Wentz,QB,MIN,2026,2,20,11,0.513,3,-8.321,3,0,0,0.0,0.0,0.0,28,27,6.3,8.72,6.32,52,52
