gsis_id,name,common,pos,birth_date,draft_season,draft_round,draft_pick
00-0038389,Israel Abanikanda,Israel Abanikanda,RB,2002-10-05,2023,5,143
00-0031021,Jared Abbrederis,Jared Abbrederis,WR,1990-12-17,2014,5,176
00-0032104,Ameer Abdullah,Ameer Abdullah,RB,1993-06-13,2015,2,54
00-0000007,Rabih Abdullah,Rabih Abdullah,RB,1975-04-27,,,
ABE498348,Walter Abercrombie,Walter Abercrombie,RB,1959-09-26,1982,1,12
00-0023322,Robert Abiamiri,Rob Abiamiri,TE,1982-12-21,,,
00-0022830,Derek Abney,Derek Abney,WR,1980-12-19,,,
ABR166116,Daniel Abramowicz,Danny Abramowicz,WR,1945-07-13,,,
ABR390978,Josh Abrams,Josh Abrams,RB,1986-01-18,,,
00-0039040,De'Von Achane,Devon Achane,RB,2001-10-13,2023,3,84
00-0041221,Jackson Acker,Jackson Acker,RB,2002-09-17,,,
ADA083058,Michael Adamle,Mike Adamle,RB,1949-10-04,,,
00-0029271,Adam Adams,Joe Adams,WR,1989-11-22,2012,4,104
ADA110744,Anthony Adams,Tony Adams,QB,1950-03-09,,,
00-0021006,Charles Adams,Charlie Adams,WR,1979-10-23,,,
ADA166116,Curtis Adams,Curtis Adams,RB,1962-04-30,1985,8,207
00-0031115,D.J. Adams,D.J. Adams,RB,1990-09-27,,,
00-0028746,Darvin Adams,Darvin Adams,WR,1990-01-05,,,
00-0031381,Davante Adams,Davante Adams,WR,1992-12-24,2014,2,53
ADA229740,David Adams,David Adams,RB,1964-06-24,1987,12,309
00-0000047,George Adams,George Adams,RB,1962-12-22,1985,1,19
ADA324014,Harry Adams,Harry Adams,WR,1989-11-27,,,
00-0032429,Jerell Adams,Jerell Adams,TE,1992-12-31,2016,6,184
00-0034457,Joshua Adams,Josh Adams,RB,1996-10-29,,,
00-0028338,Kristofer Adams,Kris Adams,WR,1987-09-04,,,
00-0028337,Kyle Adams,Kyle Adams,TE,1988-01-19,,,
ADA504348,Michael Adams,Mike Adams,WR,1974-03-24,1997,7,223
ADA553720,Robert Adams,Bob Adams,TE,1946-08-15,,,
00-0033957,Rodney Adams,Rodney Adams,WR,1994-09-15,2017,5,170
00-0028829,Royce Adams,Royce Adams,WR,1988-05-03,,,
ADA775208,Willis Adams,Willis Adams,WR,1956-08-22,,,
