season,pick_no,round,sleeper_id,name,pos,source
2020,1,1,6770,Joe Burrow,QB,allstars
2020,2,1,6768,Tua Tagovailoa,QB,allstars
2020,3,1,6820,Clyde Edwards-Helaire,RB,allstars
2020,4,1,6813,Jonathan Taylor,RB,allstars
2020,5,1,6786,CeeDee Lamb,WR,allstars
2020,6,1,6806,J.K. Dobbins,RB,allstars
2020,7,1,6783,Jerry Jeudy,WR,allstars
2020,8,1,6790,D'Andre Swift,RB,allstars
2020,9,1,6938,Cam Akers,RB,allstars
2020,10,1,6797,Justin Herbert,QB,allstars
2020,11,1,6798,Jalen Reagor,WR,allstars
2020,12,1,6885,Ke'Shawn Vaughn,RB,allstars
2020,13,2,6789,Henry Ruggs III,WR,allstars
2020,14,2,6794,Justin Jefferson,WR,allstars
2020,15,2,6849,Denzel Mims,WR,allstars
2020,16,2,6845,Zack Moss,RB,allstars
2020,17,2,6819,Michael Pittman Jr.,WR,allstars
2020,18,2,6945,Antonio Gibson,RB,allstars
2020,19,2,6801,Tee Higgins,WR,allstars
2020,20,2,7045,Joshua Kelley,RB,allstars
2020,21,2,6803,Brandon Aiyuk,WR,allstars
2020,22,2,6823,Jacob Eason,QB,allstars
2020,23,2,6904,Jalen Hurts,QB,allstars
2020,24,2,6828,A.J. Dillon,RB,allstars
2020,25,3,6847,Devin Duvernay,WR,allstars
2020,26,3,6804,Jordan Love,QB,allstars
2020,27,3,7064,Darrynton Evans,RB,allstars
2020,28,3,6814,Laviska Shenault Jr.,WR,allstars
2020,29,3,6878,Anthony McFarland Jr.,RB,allstars
2020,30,3,6931,DeeJay Dallas,RB,allstars
2020,31,3,6908,Lamical Perine,RB,allstars
2020,32,3,6886,Chase Claypool,WR,allstars
2020,33,3,6853,Van Jefferson,WR,allstars
2020,34,3,6870,Bryan Edwards,WR,allstars
2020,35,3,6951,Eno Benjamin,RB,allstars
2020,36,3,6805,K.J. Hamler,WR,allstars
2020,37,4,6906,Antonio Gandy-Golden,WR,allstars
2020,38,4,6826,Cole Kmet,TE,allstars
2020,39,4,6824,Donovan Peoples-Jones,WR,allstars
2020,40,4,7107,Jason Huntley,RB,allstars
2020,41,4,6960,Tyler Johnson,WR,allstars
2020,42,4,6869,Adam Trautman,TE,allstars
2020,43,4,6895,Quintez Cephus,WR,allstars
2020,44,4,6822,Jake Fromm,QB,allstars
2020,45,4,6954,Cole McDonald,QB,allstars
2020,46,4,6943,Gabriel Davis,WR,allstars
2020,47,4,6956,Devin Asiasi,TE,allstars
2020,48,4,6909,Lynn Bowden Jr.,RB,allstars
2021,1,1,7523,Trevor Lawrence,QB,allstars
2021,2,1,7564,Ja'Marr Chase,WR,allstars
2021,3,1,7528,Najee Harris,RB,allstars
