player_id,name,pos,gp,pts,WAA,WAR
00-0023459,Aaron Rodgers,QB,161,2967.7,-1.324,14.719
00-0030506,Travis Kelce,TE,156,2825.4,2.508,14.261
00-0019596,Thomas Brady,QB,140,2689.9,-0.083,14.021
00-0029263,Russell Wilson,QB,172,2967.9,-3.658,13.689
00-0026498,John Stafford,QB,172,2940.3,-3.8,13.587
00-0034857,Joshua Allen,QB,104,2204.1,2.069,12.58
00-0033280,Christian McCaffrey,RB,92,2053.3,4.66,12.333
00-0033873,Patrick Mahomes,QB,115,2201.7,-0.288,11.462
00-0020531,Drew Brees,QB,109,2097.6,0.097,10.889
00-0033077,Rayne Prescott,QB,111,2090.2,-0.537,10.768
00-0033040,Tyreek Hill,WR,119,2193.4,1.368,10.688
00-0027793,Antonio Brown,WR,100,1984.4,2.306,10.345
00-0034796,Lamar Jackson,QB,98,1907.7,0.2,10.043
00-0031381,Davante Adams,WR,146,2377.5,-1.709,10.037
00-0026143,Matthew Ryan,QB,140,2329.6,-4.031,10.025
00-0027939,Cameron Newton,QB,110,2016.4,-0.912,9.93
00-0033906,Alvin Kamara,RB,104,1933.6,0.961,9.722
00-0030279,Keenan Allen,WR,142,2281.2,-2.095,9.417
00-0030564,DeAndre Hopkins,WR,160,2412.3,-4.158,8.898
00-0022924,Benjamin Roethlisberger,QB,115,1981.3,-2.537,8.833
00-0031408,Michael Evans,WR,142,2196.7,-3.03,8.589
00-0022942,Philip Rivers,QB,117,1939.3,-3.408,8.34
00-0027944,Quintorres Jones,WR,126,2047.3,-1.844,8.304
00-0031588,Stefon Diggs,WR,138,2101.5,-3.083,8.002
00-0031280,Derek Carr,QB,140,2076.4,-6.651,7.702
00-0036389,Jalen Hurts,QB,76,1427.3,-0.114,7.529
00-0034844,Saquon Barkley,RB,83,1490.3,0.148,7.328
00-0032764,Derrick Henry,RB,125,1895.2,-3.273,7.298
00-0036355,Justin Herbert,QB,78,1428.7,-0.741,7.183
00-0033106,Jared Goff,QB,129,1920.0,-6.098,7.079
00-0035228,Kyler Murray,QB,69,1341.0,-0.034,6.988
00-0027656,Robert Gronkowski,TE,100,1618.1,-0.626,6.858
00-0029604,Kirk Cousins,QB,166,2257.9,-9.855,6.762
00-0030496,Le'Veon Bell,RB,81,1398.6,-0.074,6.595
00-0033045,Ezekiel Elliott,RB,109,1675.7,-2.672,6.595
00-0033908,Cooper Kupp,WR,102,1604.5,-1.73,6.542
00-0035700,Joshua Jacobs,RB,86,1418.6,-1.009,6.415
00-0036322,Justin Jefferson,WR,71,1283.3,0.638,6.311
00-0036900,Ja'Marr Chase,WR,60,1187.1,1.537,6.291
00-0033288,George Kittle,TE,96,1498.6,-0.796,6.273
00-0033699,Austin Ekeler,RB,95,1503.1,-1.921,6.201
00-0033537,Derrick Watson,QB,61,1172.3,-0.202,6.069
00-0029668,Andrew Luck,QB,86,1427.6,-2.269,6.002
00-0036442,Joseph Burrow,QB,63,1167.7,-0.448,5.975
00-0032241,Todd Gurley,RB,74,1277.3,-0.383,5.866
00-0027874,Demaryius Thomas,WR,104,1565.9,-2.711,5.859
00-0033897,Joe Mixon,RB,92,1425.7,-2.168,5.8
00-0036223,Jonathan Taylor,RB,65,1175.3,0.406,5.787
00-0036358,Cedarian Lamb,WR,74,1236.4,-0.471,5.55
00-0029701,Ryan Tannehill,QB,138,1864.5,-8.456,5.44
00-0035676,Arthur Brown,WR,82,1283.5,-1.3,5.416
00-0032765,Michael Thomas,WR,72,1194.4,-0.68,5.113
00-0034855,Baker Mayfield,QB,101,1447.7,-5.425,5.058
00-0028009,DeMarco Murray,RB,72,1164.5,-0.952,5.011
00-0023436,Alexander Smith,QB,93,1359.8,-4.413,4.997
00-0031544,Amari Cooper,WR,125,1727.4,-5.046,4.993
00-0026184,Matthew Forte,RB,77,1193.9,-1.503,4.833
00-0030061,Zachary Ertz,TE,155,1928.1,-7.254,4.632
00-0029608,Eugene Hilton,WR,116,1594.2,-4.806,4.61
00-0010346,Peyton Manning,QB,52,945.5,-0.318,4.598
00-0036963,Amon-Ra St. Brown,WR,63,1020.3,-0.587,4.575
00-0033293,Aaron Jones,RB,102,1421.9,-4.147,4.519
00-0025389,Calvin Johnson,WR,52,947.0,0.259,4.469
00-0035640,DeKaylin Metcalf,WR,88,1262.7,-2.9,4.441
00-0027942,Adriel Green,WR,130,1717.4,-6.106,4.402
