season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2014,1,00-0030443,Levine Toilolo,TE,12.4,-6.49,0.8,-0.0704,0.0087,25.9,1
2014,1,00-0024226,Jay Cutler,QB,17.96,-0.03,6.32,-0.0003,0.0686,25.9,1
2014,1,00-0027155,Rashad Jennings,RB,19.6,1.5,8.0,0.0163,0.0866,25.9,1
2014,1,00-0027966,Mark Ingram,RB,19.1,1.0,7.5,0.0109,0.0812,25.9,1
2014,1,00-0029701,Ryan Tannehill,QB,11.92,-6.07,0.28,-0.0659,0.0031,25.9,1
2014,1,00-0024221,Vernon Davis,TE,22.4,3.51,10.8,0.0383,0.1161,25.9,1
2014,1,00-0027918,Andrew Hawkins,WR,16.7,-0.79,4.9,-0.0086,0.0533,25.9,1
2014,1,00-0027685,Emmanuel Sanders,WR,14.8,-2.69,3.0,-0.0293,0.0327,25.9,1
2014,1,00-0024272,Devin Hester,WR,14.9,-2.59,3.1,-0.0282,0.0338,25.9,1
2014,1,00-0028442,Ricardo Lockette,WR,11.8,-5.69,0.0,-0.0618,0.0,25.9,1
2014,1,00-0027981,Kyle Rudolph,TE,10.6,-8.29,-1.0,-0.0896,-0.0109,25.9,0
2014,1,00-0030521,Justin Hunter,WR,9.3,-8.19,-2.5,-0.0886,-0.0273,25.9,0
2014,1,00-0023459,Aaron Rodgers,QB,8.56,-9.43,-3.08,-0.1017,-0.0336,25.9,0
2014,1,00-0028114,Dwayne Harris,WR,7.5,-9.99,-4.3,-0.1076,-0.0468,25.9,0
2014,1,00-0027791,James Starks,RB,6.8,-11.3,-4.8,-0.1214,-0.0522,25.9,0
2014,1,00-0029883,Joseph Fauria,TE,6.1,-12.79,-5.5,-0.1367,-0.0598,25.9,0
2014,1,00-0024332,Leon Washington,RB,5.4,-12.7,-6.2,-0.1358,-0.0673,25.9,0
2014,1,00-0026986,Michael Crabtree,WR,4.5,-12.99,-7.3,-0.1388,-0.0791,25.9,0
2014,1,00-0029587,Rhett Ellison,TE,3.7,-15.19,-7.9,-0.161,-0.0855,25.9,0
2014,1,00-0026281,Gary Barnidge,TE,2.8,-16.09,-8.8,-0.17,-0.0951,25.9,0
2014,1,00-0028042,Lucas Stocker,TE,2.3,-16.59,-9.3,-0.1749,-0.1004,25.9,0
2014,1,00-0026019,Danny Woodhead,RB,2.1,-16.0,-9.5,-0.1692,-0.1025,25.9,0
2014,1,00-0030280,Knile Davis,RB,1.6,-16.5,-10.0,-0.1741,-0.1077,25.9,0
2014,1,00-0030107,Theodore Riddick,RB,0.4,-17.7,-11.2,-0.1858,-0.1203,25.9,0
2014,1,00-0025414,Robert Meachem,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0031008,Silas Redd,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0029415,Keshawn Martin,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0026008,Matthew Mulligan,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0030095,Corey Fuller,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0030068,Marquise Goodwin,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0031326,Bruce Ellington,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0027450,Preston Parker,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0031053,Jalen Saunders,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0029137,Alshon Jeffery,WR,12.1,-5.39,0.3,-0.0586,0.0033,25.9,1
2014,1,00-0027973,Andrew Dalton,QB,18.34,0.35,6.7,0.0038,0.0727,25.9,1
2014,1,00-0025399,Marshawn Lynch,RB,25.4,7.3,13.8,0.0791,0.147,25.9,1
2014,1,00-0028009,DeMarco Murray,RB,21.3,3.2,9.7,0.0348,0.1046,25.9,1
2014,1,00-0030431,Robert Woods,WR,11.8,-5.69,0.0,-0.0618,0.0,25.9,0
2014,1,00-0024389,Hubert Walker,TE,14.2,-4.69,2.6,-0.051,0.0283,25.9,1
2014,1,00-0027944,Quintorres Jones,WR,16.6,-0.89,4.8,-0.0097,0.0522,25.9,1
2014,1,00-0027891,Golden Tate,WR,15.7,-1.79,3.9,-0.0195,0.0425,25.9,1
2014,1,00-0026173,Donnie Avery,WR,15.4,-2.09,3.6,-0.0228,0.0392,25.9,1
2014,1,00-0030565,Eugene Smith,QB,11.64,-6.35,0.0,-0.0689,0.0,25.9,0
2014,1,00-0028083,Jacquizz Rodgers,RB,10.5,-7.6,-1.1,-0.0824,-0.012,25.9,0
2014,1,00-0021678,Antonio Romo,QB,9.24,-8.75,-2.4,-0.0945,-0.0262,25.9,0
2014,1,00-0030549,Tyler Eifert,TE,8.2,-10.69,-3.4,-0.115,-0.037,25.9,0
2014,1,00-0030485,Eddie Lacy,RB,7.5,-10.6,-4.1,-0.1141,-0.0446,25.9,0
2014,1,00-0026153,Jonathan Stewart,RB,6.7,-11.4,-4.9,-0.1224,-0.0533,25.9,0
2014,1,00-0031075,Alfred Blue,RB,6.0,-12.1,-5.6,-0.1297,-0.0609,25.9,0
2014,1,00-0029614,Christopher Givens,WR,5.4,-12.09,-6.4,-0.1295,-0.0695,25.9,0
2014,1,00-0029572,Jarius Wright,WR,4.5,-12.99,-7.3,-0.1388,-0.0791,25.9,0
2014,1,00-0025460,Jacoby Jones,WR,3.6,-13.89,-8.2,-0.1479,-0.0887,25.9,0
2014,1,00-0028086,Denarius Moore,WR,2.8,-14.69,-9.0,-0.156,-0.0972,25.9,0
2014,1,00-0028142,Virgil Green,TE,2.3,-16.59,-9.3,-0.1749,-0.1004,25.9,0
2014,1,00-0024297,Derek Hagan,WR,1.9,-15.59,-9.9,-0.165,-0.1067,25.9,0
2014,1,00-0030089,Luke Willson,TE,1.6,-17.29,-10.0,-0.1818,-0.1077,25.9,0
2014,1,00-0031392,Adrion Archer,RB,0.4,-17.7,-11.2,-0.1858,-0.1203,25.9,0
2014,1,00-0031302,Colton Fiedorowicz,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0029654,Alfred Jenkins,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0030780,Ryan Hewitt,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0030544,Gavin Escobar,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0030470,Vance McDonald,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0023503,Courtney Roby,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0031382,Jarvis Landry,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0028179,David Ausberry,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0028263,Andre Holmes,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0027135,Brandon Myers,TE,13.1,-5.79,1.5,-0.0629,0.0164,25.9,1
2014,1,00-0029668,Andrew Luck,QB,26.7,8.71,15.06,0.0941,0.1598,25.9,1
2014,1,00-0030456,Giovani Bernard,RB,17.0,-1.1,5.4,-0.012,0.0587,25.9,1
2014,1,00-0029615,Lamar Miller,RB,15.8,-2.3,4.2,-0.0251,0.0457,25.9,1
2014,1,00-0023682,Ryan Fitzpatrick,QB,12.24,-5.75,0.6,-0.0625,0.0065,25.9,1
2014,1,00-0027656,Robert Gronkowski,TE,16.0,-2.89,4.4,-0.0315,0.0479,25.9,1
2014,1,00-0030542,Terrance Williams,WR,15.0,-2.49,3.2,-0.0271,0.0349,25.9,1
2014,1,00-0023462,Sharod White,WR,18.2,0.71,6.4,0.0078,0.0695,25.9,1
2014,1,00-0027150,Julian Edelman,WR,17.6,0.11,5.8,0.0012,0.063,25.9,1
2014,1,00-0030282,Stepfan Taylor,RB,11.6,-6.5,0.0,-0.0706,0.0,25.9,0
2014,1,00-0024204,Fredrick Jackson,RB,10.4,-7.7,-1.2,-0.0834,-0.0131,25.9,0
2014,1,00-0029608,Eugene Hilton,WR,9.1,-8.39,-2.7,-0.0907,-0.0294,25.9,0
2014,1,00-0029000,Cole Beasley,WR,8.2,-9.29,-3.6,-0.1002,-0.0392,25.9,0
2014,1,00-0026213,Jamaal Charles,RB,7.4,-10.7,-4.2,-0.1151,-0.0457,25.9,0
2014,1,00-0031299,Jordan Matthews,TE,6.7,-12.19,-4.9,-0.1305,-0.0533,25.9,0
2014,1,00-0025549,Brent Celek,TE,6.0,-12.89,-5.6,-0.1377,-0.0609,25.9,0
2014,1,00-0029275,Ladarius Green,TE,5.4,-13.49,-6.2,-0.1439,-0.0673,25.9,0
2014,1,00-0027265,Victor Cruz,WR,4.4,-13.09,-7.4,-0.1398,-0.0802,25.9,0
2014,1,00-0026237,Andre Caldwell,WR,3.6,-13.89,-8.2,-0.1479,-0.0887,25.9,0
2014,1,00-0029755,Brian Leonhardt,TE,2.7,-16.19,-8.9,-0.171,-0.0961,25.9,0
2014,1,00-0031228,Taylor Gabriel,WR,2.3,-15.19,-9.5,-0.161,-0.1025,25.9,0
2014,1,00-0031339,Donte Moncrief,WR,1.9,-15.59,-9.9,-0.165,-0.1067,25.9,0
2014,1,00-0022943,Benjamin Watson,TE,1.5,-17.39,-10.1,-0.1828,-0.1088,25.9,0
2014,1,00-0030653,Raymond Agnew,RB,0.2,-17.9,-11.4,-0.1878,-0.1224,25.9,0
2014,1,00-0030839,Solomon Patton,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0030985,Julius Watts,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0030513,Latavius Murray,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
